epoch,loss,lr,val_loss
0,0.4271073043346405,0.001,0.3925706148147583
1,0.2773491442203522,0.001,0.3608648478984833
2,0.24600987136363983,0.001,0.3224398195743561
3,0.22418224811553955,0.001,0.2923904359340668
4,0.2008359730243683,0.001,0.2628062963485718
5,0.18437834084033966,0.001,0.23720432817935944
6,0.16816593706607819,0.001,0.23038098216056824
7,0.15000613033771515,0.001,0.20324870944023132
8,0.13491658866405487,0.001,0.19447362422943115
9,0.12145005911588669,0.001,0.1749383807182312
10,0.1065022274851799,0.001,0.16116952896118164
11,0.0985460877418518,0.001,0.13153693079948425
12,0.08692473918199539,0.001,0.12736955285072327
13,0.07986439764499664,0.001,0.11801420152187347
14,0.06843046098947525,0.001,0.10275314748287201
15,0.06565164774656296,0.001,0.09029167145490646
16,0.054813630878925323,0.001,0.09467453509569168
17,0.05081005021929741,0.001,0.07655563950538635
18,0.0446181446313858,0.001,0.06474056094884872
19,0.037906207144260406,0.001,0.058706704527139664
20,0.03443842753767967,0.001,0.05478190258145332
21,0.031063761562108994,0.001,0.04260573163628578
22,0.026944776996970177,0.001,0.047099288552999496
23,0.02732934057712555,0.001,0.028455978259444237
24,0.024131111800670624,0.001,0.0083414101973176
25,0.02157372236251831,0.001,0.02501140721142292
26,0.019039787352085114,0.001,0.021253131330013275
27,0.01871306076645851,0.001,0.019044632092118263
28,0.01532160397619009,0.001,0.009675679728388786
29,0.016354188323020935,0.001,0.012912839651107788
30,0.014626770280301571,0.000100000005,0.01117901224642992
31,0.0153816444799304,0.000100000005,0.010114080272614956
32,0.014661714434623718,0.000100000005,0.0069449483416974545
33,0.014264368452131748,0.000100000005,0.009413383901119232
34,0.015628352761268616,0.000100000005,0.007669534999877214
35,0.01496855914592743,0.000100000005,0.008607417345046997
36,0.015059218741953373,0.000100000005,0.008252372033894062
37,0.014029416255652905,0.000100000005,0.00633127661421895
38,0.01300128921866417,0.000100000005,0.011526058427989483
39,0.012227585539221764,0.000100000005,0.009542768821120262
40,0.014189129695296288,0.000100000005,0.011364917270839214
41,0.011554731987416744,0.000100000005,0.005814013071358204
42,0.01401549018919468,0.000100000005,0.004583635833114386
43,0.015059142373502254,0.000100000005,0.006070670206099749
44,0.012490808963775635,0.000100000005,0.010192451998591423
45,0.015167444944381714,0.000100000005,0.006132917944341898
46,0.01290254294872284,0.000100000005,0.005805673077702522
47,0.012503630481660366,0.000100000005,0.00997264962643385
48,0.01411331258714199,1.0000001e-05,0.008257631212472916
49,0.01438552513718605,1.0000001e-05,0.006576803047209978
50,0.01187700591981411,1.0000001e-05,0.006343950051814318
51,0.011927515268325806,1.0000001e-05,0.006248339079320431
52,0.012184039689600468,1.0000001e-05,0.005812754388898611
